# Extraterrestrial Irradiance (E0) and Radiation received by a horizontal surface at the Top of the Atmosphere (ToA) during one day;;;;;;;
# Provider;MINES ParisTech / Armines (France);;;;;;
# More information at;http://www.soda-pro.com;;;;;;
# Site latitude (positive means North);13.078;;;;;;
# Site longitude (positive means East);-11.406;;;;;;
# Date beginning;29/05/2020;;;;;;
# Date end;22/10/2020;;;;;;
# Solar Constant;is taken here as 1367 W/m2;;;;;;
# Extraterrestrial Irradiance E0 (W/m2);Irradiance (E0) falling on an area perpendicular to the solar rays outside the atmosphere;;;;;;
# Irradiance (W/m2);Mean irradiance for that day at the top of atmosphere (ToA) on horizontal plane;;;;;;
# Irradiation (kJ/m2);Daily irradiation at the top of atmosphere (ToA) on horizontal plane;;;;;;
# Irradiation (Wh/m2);Daily irradiation at the top of atmosphere (ToA) on horizontal plane;;;;;;
;;;;;;;
# Extraterrestrial Irradiance (E0) and Top of Atmosphere (ToA) radiation integrated over one day;;;;;;;
Year;Month;Day;Day in Year;Extraterrestrial Irradiance;Irradiance (W/m2);Irradiation (kJ/m2);Irradiation (Wh/m2)
2020;5;29;150;1329.53;440.02;38018.03;10560.56
2020;5;30;151;1329.09;439.86;38004.07;10556.69
2020;5;31;152;1328.65;439.70;37990.26;10552.85
2020;6;1;153;1328.23;439.54;37976.64;10549.07
2020;6;2;154;1327.82;439.39;37963.25;10545.35
2020;6;3;155;1327.42;439.24;37950.10;10541.69
2020;6;4;156;1327.03;439.09;37937.24;10538.12
2020;6;5;157;1326.66;438.94;37924.69;10534.64
2020;6;6;158;1326.29;438.80;37912.47;10531.24
2020;6;7;159;1325.94;438.66;37900.62;10527.95
2020;6;8;160;1325.60;438.53;37889.16;10524.77
2020;6;9;161;1325.28;438.40;37878.10;10521.70
2020;6;10;162;1324.96;438.28;37867.48;10518.74
2020;6;11;163;1324.66;438.16;37857.31;10515.92
2020;6;12;164;1324.37;438.05;37847.60;10513.22
2020;6;13;165;1324.09;437.94;37838.38;10510.66
2020;6;14;166;1323.83;437.84;37829.67;10508.24
2020;6;15;167;1323.57;437.75;37821.46;10505.96
2020;6;16;168;1323.33;437.66;37813.78;10503.83
2020;6;17;169;1323.11;437.58;37806.63;10501.84
2020;6;18;170;1322.90;437.50;37800.02;10500.01
2020;6;19;171;1322.69;437.43;37793.96;10498.32
2020;6;20;172;1322.51;437.37;37788.46;10496.79
2020;6;21;173;1322.33;437.31;37783.51;10495.42
2020;6;22;174;1322.17;437.26;37779.11;10494.20
2020;6;23;175;1322.03;437.21;37775.27;10493.13
2020;6;24;176;1321.89;437.18;37771.99;10492.22
2020;6;25;177;1321.77;437.14;37769.26;10491.46
2020;6;26;178;1321.66;437.12;37767.07;10490.85
2020;6;27;179;1321.57;437.10;37765.42;10490.39
2020;6;28;180;1321.49;437.09;37764.29;10490.08
2020;6;29;181;1321.42;437.08;37763.69;10489.91
2020;6;30;182;1321.37;437.08;37763.59;10489.89
2020;7;1;183;1321.33;437.08;37763.98;10489.99
2020;7;2;184;1321.30;437.09;37764.85;10490.24
